"","webpage","Artist","titles","words"
"1","https://www.allthelyrics.com/lyrics/killer_mike/rap_is_dead-lyrics-587708.html","killer_mike","Rap Is Dead ","Big is dead, Pac is dead
My music's dead, and y'all just scared
{scratched: ""I'm Killer Mike, I'm Killer Mike, I'm Killer Mike, I'm Killer Mike""}
Rap is dead, rock is dead
My music's dead, and y'all just scared
[Verse 1: Killer Mike]
Fuck rap, rap's near death, bloated and sick
Too many niggaz still ride, Big and Pac's dick
Fuck that, next year, they more deader
And I write more rhymes, more deadly and more better
Then the last, sick and disturbed verse I wrote
And sell it to tough teenage boys to quote
Some music to madness, let the anger kill the pain and the sadness
Fuck the fag shit, keep it Killer with the rap shit
Hard rock when you rock shit, back to the block freestyle pop lock shit
Back to the basics with the fuck a cop shit
Rock pussies rap on some pop shit, sing like they rap
Soft and frail, these spirits, didn't have the heart to smell
This is no pain, and it's high octane
A bad brain, on Kobain
Lennon is dead, Kurt is dead
My music's dead, and y'all just scared
{scratched: ""Killer Mike, who's the man, Killer Mike, who's the man""}
Rap is dead, rock is dead
My music's dead, and y'all just scared
{scratched: ""Killer Mike, who's the man, Killer Mike, who's the man""}
[Verse 2: Killer Mike]
God damnit rappers chitter chattar, on any subject matter
But really does the subject really matter
Pass the guns and blood splatter, does anything fuckin' matter
Pass Cristal, pissed off, fuckin' right I'm pissed off
And you a pistol, yo why the fuck do critics (?)
Now wait a second, don't like what I'm saying
Make a record, and I'll be glad when
My music gets mad again, new school Ice Cube
""Fuck you Killer Mike!"" Yeah fuck you too
No this ain't yo mama's music
It's a drug if you like it, please abuse it
Here's a cool meth-amphetamine for teens
Nightmares comin', crushing ya fuckin' dreams, ultra-shock
Rap rock, bringin' the bars back to rock and hip-hop
Spit it, venom non-stop
Big is dead, Pac is dead
My music's dead, and y'all just scared
{scratched: ""Hip-Hop is, Killer Mike, Hip-Hop is, Killer Mike""}
Rap is dead, rock is dead
My music's dead, and y'all just scared
{scratched: ""Hip-Hop is, Killer Mike, Hip-Hop is, Killer Mike""}
[Verse 3: Killer Mike]
Knew it was a bad day when I woke up
N.W.A.'s gone and Rage broke up
Damn prayers ain't move the units that they should've
Rappers on top don't spit like they could've
I pledge allegiance to the hard, core
How I give it to you, hard, raw
Ay, a beautiful site to be seen
There's a mosh pit packed with wild teens
Hangin' onto every word that we spit
Ready to rip, rock, and tear shit
Self-pity's fuckin' up my music man
Whine like a bitch or stand and be a man
There's +Black Sabbath+, I'm smoking in a +Zeppelin+
Pumpin' +Metallica+, hand on my weapon
Fuck you and the bed yo bitch slept in
Killer-Kill keeps it real, hardcore is what I'm reppin'
Big is dead, Pac is dead
My music's dead, and y'all just scared
{scratched: ""I run shit, Killer Mike, I run shit, Killer Mike""}
Lennon is dead, Kurt is dead
My music's dead, and y'all just scared
{scratched: ""I run shit, Killer Mike, I run shit, Killer Mike""}
Rap is dead, Killer Mike
"
"2","https://www.allthelyrics.com/lyrics/killer_mike/reakshon_remix-lyrics-580934.html","killer_mike","Re-akshon Remix ","[T.I. talking]
Aye, aye Bun who did this man?
So me and you got, T.I.P., Killer Mike, Lil Jon, and Bun B
So that's the King of the South.. the Underground King..
the King of Crunk.. and King Kong all on the same song
Heheh.. aye Jon, they ain't ready
We taking it on back to the trap my nigga!
[Hook]
I got them 'bows on my 'lac - swervin on these niggaz!
I got the hoe up in the back - bumpin niggaz figgaz!
I got the weed in my sack - smokin on that killa!
In the hood where I'm at - trappin with my niggaz!
I got the NEW NEW... (Killa K-K-K-Killa Killa...)
NEW NEW... (K-K-K-Killa Killa..)
NEW NEW... (K-K-K-Killa Killa..)
NEW NEW... (Niggaz don't wanna touch the Killa..)
[T.I.]
Man we been throwin raps for too long
Aye whatchu wanna do homes?
I'm finna pull this heat and have you fetal like a new-born
T.I.P., Mike, and Bun B - scared whatchu better be
We was just the kings, now we heads of a legacy
Leaders of the new south, fake niggaz move out
He talkin loud and proud, but he scared with a tool out
I'm the nigga they be askin what we gon' do bout?
Mike told me ""fuck them niggaz, bring that New New out""
Tank the Chevy, buy the Caddie, bring the 22's out
Put the city back on top, just seperate the fools now
We had lots of misrepresentation but hey we cool now
Can't keep playin both sides of the fence, you got to choose now
The realest of the real or the fakest of the fake
If ya got it on ya chest, shawty say it to my face
When ya hold ya nuts in hatred, ya only rushin til ya wait
And we gon' show them people what it really is in the A
[Hook]
[Killer Mike]
Straight from Atlanta, the hog hand-ler
Grown folk trap, scramb-ler
Knee deep, means to get them G's to my manager
My mack-10 made for action, body-baggin and throat braggin
I'll drag 'em threw the river like a bad yellow nigga
I'm mashin with pops fashion, bustin first no questions askin
You gon' off that waterboat and thinkin you can hold me
I'm, King Kong on every track, no cap-sule can hold me
I'll THUMP THUMP THUMP THUMP, when I BUMP BUMP BUMP BUMP!
It's woofers, tweeters, speakers, geekers, ALL IN YO' TRUNK!
My dad ain't raise no fag, my mom ain't had no punk
We don't hesitate or negotiate, we pop Chevy trunks
From the home of Coca-Cola, I'm not referrin to soda
I'ma grind til I shine, or die going for mine
Sick Sawyer buy my side, swervin and blowin pine
Don't be a victim to a Killer, be a father to ya son
This Re-Akshon, Killa Kill, T.I.P., and Bun
[Hook]
[Bun B]
Bitch I'm coming live from the trunk and I thrive on the funk
Cuz I'd rather die like a man than survive like a punk
I'm no coward, I'm 'dro-powered, you gettin Twin-Towered
devoured - it's a shit-storm and you bout to get showered
From Broward county to Harris, Pasadena to Paris
I embarrass niggaz on chrome wheels as big as the ferris
Cuz there is, now way now how - I stay low-key, low-brow
In that black on black on black in the 'lac cuz I'm so wild
I get, drunk off that, I'll be high off this
I might pop one of those, it don't matter my nigga - I don't miss
They put me hot on list, where players are posted
But them players we posted up on corners, when they say and get roasted
And the prayer get toasted, cuz I keep the flame on
The face for the game on - leave a stain on anything I puts my name on
Disrespect and the tech'll peck a player like Woody
Cuz cain't nuttin keep a trill nigga down, ask Khujo Goodie
[Hook]
[Killer Mike talking]
All I gotta say is sucker emcees better run
The debate is now, who's the greatest emcee?
T.I.P., Killer Mike, or Bun?
We are not doing this for fun - this is a bloodsport
Emcees are dying, mothers are crying
and wack-ass niggaz will go out trying
It is officially a new day, I am officially the new mouth
AND THESE ARE THE EMCEES OF THE NEW SOUTH!!
"
"3","https://www.allthelyrics.com/lyrics/killer_mike/akshon_yeah-lyrics-391240.html","killer_mike","Akshon (Yeah!) ","f/ OutKast
* first single; send corrections to the typist
[Intro - Andre 3000]
Yeah! Killer keeps it honest
Cause reality is perception with a weak stomach
Bubbling uneasy like the bowels of hell (Boo!)
Enough to make a black ghost turn pale
Yeah! Yeah! Yeah! Yeah!
[Verse One]
K-I-L-L
This is the name that came to alter the game
Not like these rappers who spit it the same
Separate lames from they chain
My mind don't slack
I'm totally focused on beating up tracks
Monsterous music to beat in your 'Lac
1000 watt amp with woofers in back
Lean to da left if you burning a sac
Baby got back and its in Baby Phat
Pardon me dog 4 chasing the cat
I'm hittin all kittens meowing like that
I like the front but I'm loving the back
I like to bite and I'm hoping she scratch
Escalade dipping I'm holding the lane
Mama's a scholar she blowing my brain
Ain't the the life?
Snapping & Trappin and Rappin & Frappin all night
Lil mama's a plumber she handling pipe
Ill wit a pill she handle it right
Like Iverson, the smallest thing on the team
But the livest one
Cocked loaded bust like a gun
Y'all better run, one, one!
[Hook - Big Boi]
Thump, thump, thump, thump (yeah)
All in your trunk (yeah)
Grinding and hustling and getting at mine
Swerving and token and grippin on pine
Bump, bump, bump, bump
All in your trunk
Woofers and tweeters and speakers and geekers
Crawl in your bunk
[Verse Two]
How we gon' stop (whooa)
How we gone quit (shitttt!)
Brand new shoes and socks on the Chevy
I came through swerving like this (errrrr!)
Good wit the game, gutter fo' show
Ducking you lames and obstacles
Don't get that ass in a hospital
Wrapped in a cast from head to toe
This boy he real!
Racing those candy Sevilles through Dixie Hills
My car do wheelies they drive on three wheels
First round pick like Michael Vick
Quarterback status throw passes at chicks
Santana Moss When catching the ball
Get it? Like Moss she catches the ball
Perfectly tuned my engine don't stall
And I'm equipped with nitros y'all
Ready to rip, burn, roar!
Ready to tear through your city and tour
Took The Whole World and murdered that shit!
Caught the beat running and dipped with that bitch!
Later for now I'm hustling hits
Flipping my words like bricks, trick!
[Hook]
[Outro]
New, new! That new-new!
New-new for you-you!
New-new for you-you!
That new-new! That new-new!
New-new for you-you!
New-new for you-you!
"
"4","https://www.allthelyrics.com/lyrics/killer_mike/gangsta-lyrics-587704.html","killer_mike","Gangsta ","[Intro]
All points in the region related gangsterish
Serving dark dishes of true pimp horror
Warriors stormy nights on leathery wings
Sexy sirens in dreams of king Stephen killer mike
Mad stalking midnight
[Chorus: repeat 2X]
Westside riders keep it (gangsta)
Southside hustlers keep it (gangsta)
Eastside killers keep it (gangsta)
Northside monsters keep it (gangsta)
[Killer Mike]
See I in the V.I. staggerin and weed eyed
Stumbling and laughin rollin in with 'kast 'nem
Cold weather bubble goose 4-5er mashin
From G.A. to L.A. Force 1's be my fashion
Disrespect my space I'll push yo fuckin back in
Spit in your face and hand your faggot ass a napkin
Everything you did mu'fucka we done done done
Ran streets took over traps carry gun gun
I'm from a hood full of junkies and pastor sons
We don't give a fuck how hard you come we don't run
Our moms ain't raise no faggot ain't nothing queer nigga
We don't give a fuck blood'll smear right here nigga
[Chorus]
[Killer Mike]
Shit
Them killers in the cut they conspiring they conniving
Aint no fifth for them niggaz them niggaz shit we ride with
Them fur coat and champagne suckers better hide when
They peep a team of gully motherfuckers bout to slide in
These bullets leave you shakin like that dance from N.Y. and
I put that on my children and my young nephew Ty and
And my nigga Kimjohn years away from frying
He send me letters telling me how grown men be crying
When they surrounded by rapists with lustful eyes in
The belly of the beast where they don't let no light in
Red velvet robbin crews totin lead pipes in
To your suburban home throwin on kids and wife and
You go spaghetti when these killers strike like lightning
Niggaz go spaghetti when these killers strike like lightning
[Chorus]
[Killer Mike]
Shit
We don't give a fuck bout who your homeboy friends is
We don't give a fuck bout what series your benz is
All we gives a shit about is up all night trappin white
Cop that yay weigh it right till lay lay equals glass pipe
My side of town don't act right
Every damn day is fight night
These motherfuckers don't act ok
These motherfuckers just spray they k
Down the block over rocks hot 4-5's be coughin
Mothers who couldn't afford shoes and socks
They purchase coffins
You scared motherfucker you scared (rich nigga)
You scared motherfucker you scared (bitch nigga)
You scared motherfucker you scared (snitch nigga)
You scared motherfucker you scared (trick nigga)
[Chorus] - 2X
[Talking]
All those who oppose higher glory beware
For candelit crypt comes open and monsters see
Two big rested vamps doin the snake-dog dance
"
"5","https://www.allthelyrics.com/lyrics/killer_mike/adidas-lyrics-391243.html","killer_mike","A.d.i.d.a.s. ","Pussy nigga what you doin'
[Chorus: Sleepy Brown]
(All day I dream about...)
(All day I dream about sex)
The way you move your sexy groove
I've got my mind all over you
(All day I dream about...)
(All day I dream about sex)
You say you were so sick of it
I'm tired of jackin' off cause you ain't there
[Verse 1: Big Boi]
65 Cevrolet Ipala peachy cream
Cruisin' down the street like two fingers
Cause the ivory is clean
Talkin' 'bout meetin' at the MC room
On the inside of the ship
Not a honey dip to hunt on
Cause she mobile than a grip
Or the Blue Man Group
Caught out on the Vegas Strip
Tell em' a good game, juju pimpin'
Give em' to my nigga Dime Legit
Boss lips, legs, arms, necks
Hip dips, hair net, mo' stretch
It's a camel toe and thats fo' sho
My brain is on one track
Like Mary Mary toss for crackle like a rock star does for smack
None of that but the female genatalia's where it's at
I'm a man and I demand a WO-man for that act
Personal preference cause I use the law of nature as a reference
No I don't ever recall seein' a man turn up pregnant
But that's just me
From them female fantasies frolic freely
In my cock pit, every 30 some seconds I can't stop it
[Chorus]
[Killer Mike]
Killer Kill from Adamsville and in a Bonneville I chill
Heffers call me Black-N-Decker, I don't screw them hoes I drill
I've been cuttin' cute lil' coochies since before the record deal
Catch me daydreamin' 'bout them, thick, medium, or slim
Doctors call the thing vagina, in the hood we call it trim
White boys call it snatch, Puerto Ricans call it chocha
Nathaniel likes his white, I like mine dark as cola
It's the first thing on my mind in the morn' when I roll over
All men young or old in the end it's what we after
Even my grandpappy's happy, he got prescribed Viagra
Grandaddy, grandaddy what's happenin'
What's up, what's up this me
Hey let me get about three of them blue diamonds
I promise I got you tomorrow
[Chorus]
[Killer Mike]
When I drill, I don't spill, even if she's on the pill
Keep my weapon covered, concealed, and in a shield
Cause I dont need that A-I-D-S
A D and an A missin' out my ADIDAS
PLUS, We don't need no DNA mixin' between us
We just need to keep this thing friendly and hush hush
On the down low, like R. Kelly and youngsters
But over eighteen only cause baby I'm no perv
From the tour bus to the lobby, elevator to the room
We can jump each others bones but there's no jumpin' brooms
[Big Boi]
Buffoon you are too consumed in the womb
It is too early for you to jump the broom, BOOM
[Chorus]
"
"6","https://www.allthelyrics.com/lyrics/killer_mike/adidas-lyrics-391243.html","killer_mike","A.d.i.d.a.s. ","Pussy nigga what you doin'
[Chorus: Sleepy Brown]
(All day I dream about...)
(All day I dream about sex)
The way you move your sexy groove
I've got my mind all over you
(All day I dream about...)
(All day I dream about sex)
You say you were so sick of it
I'm tired of jackin' off cause you ain't there
[Verse 1: Big Boi]
65 Cevrolet Ipala peachy cream
Cruisin' down the street like two fingers
Cause the ivory is clean
Talkin' 'bout meetin' at the MC room
On the inside of the ship
Not a honey dip to hunt on
Cause she mobile than a grip
Or the Blue Man Group
Caught out on the Vegas Strip
Tell em' a good game, juju pimpin'
Give em' to my nigga Dime Legit
Boss lips, legs, arms, necks
Hip dips, hair net, mo' stretch
It's a camel toe and thats fo' sho
My brain is on one track
Like Mary Mary toss for crackle like a rock star does for smack
None of that but the female genatalia's where it's at
I'm a man and I demand a WO-man for that act
Personal preference cause I use the law of nature as a reference
No I don't ever recall seein' a man turn up pregnant
But that's just me
From them female fantasies frolic freely
In my cock pit, every 30 some seconds I can't stop it
[Chorus]
[Killer Mike]
Killer Kill from Adamsville and in a Bonneville I chill
Heffers call me Black-N-Decker, I don't screw them hoes I drill
I've been cuttin' cute lil' coochies since before the record deal
Catch me daydreamin' 'bout them, thick, medium, or slim
Doctors call the thing vagina, in the hood we call it trim
White boys call it snatch, Puerto Ricans call it chocha
Nathaniel likes his white, I like mine dark as cola
It's the first thing on my mind in the morn' when I roll over
All men young or old in the end it's what we after
Even my grandpappy's happy, he got prescribed Viagra
Grandaddy, grandaddy what's happenin'
What's up, what's up this me
Hey let me get about three of them blue diamonds
I promise I got you tomorrow
[Chorus]
[Killer Mike]
When I drill, I don't spill, even if she's on the pill
Keep my weapon covered, concealed, and in a shield
Cause I dont need that A-I-D-S
A D and an A missin' out my ADIDAS
PLUS, We don't need no DNA mixin' between us
We just need to keep this thing friendly and hush hush
On the down low, like R. Kelly and youngsters
But over eighteen only cause baby I'm no perv
From the tour bus to the lobby, elevator to the room
We can jump each others bones but there's no jumpin' brooms
[Big Boi]
Buffoon you are too consumed in the womb
It is too early for you to jump the broom, BOOM
[Chorus]
"
"7","https://www.allthelyrics.com/lyrics/killer_mike/akshon_yeah-lyrics-391240.html","killer_mike","Akshon (Yeah!) ","f/ OutKast
* first single; send corrections to the typist
[Intro - Andre 3000]
Yeah! Killer keeps it honest
Cause reality is perception with a weak stomach
Bubbling uneasy like the bowels of hell (Boo!)
Enough to make a black ghost turn pale
Yeah! Yeah! Yeah! Yeah!
[Verse One]
K-I-L-L
This is the name that came to alter the game
Not like these rappers who spit it the same
Separate lames from they chain
My mind don't slack
I'm totally focused on beating up tracks
Monsterous music to beat in your 'Lac
1000 watt amp with woofers in back
Lean to da left if you burning a sac
Baby got back and its in Baby Phat
Pardon me dog 4 chasing the cat
I'm hittin all kittens meowing like that
I like the front but I'm loving the back
I like to bite and I'm hoping she scratch
Escalade dipping I'm holding the lane
Mama's a scholar she blowing my brain
Ain't the the life?
Snapping & Trappin and Rappin & Frappin all night
Lil mama's a plumber she handling pipe
Ill wit a pill she handle it right
Like Iverson, the smallest thing on the team
But the livest one
Cocked loaded bust like a gun
Y'all better run, one, one!
[Hook - Big Boi]
Thump, thump, thump, thump (yeah)
All in your trunk (yeah)
Grinding and hustling and getting at mine
Swerving and token and grippin on pine
Bump, bump, bump, bump
All in your trunk
Woofers and tweeters and speakers and geekers
Crawl in your bunk
[Verse Two]
How we gon' stop (whooa)
How we gone quit (shitttt!)
Brand new shoes and socks on the Chevy
I came through swerving like this (errrrr!)
Good wit the game, gutter fo' show
Ducking you lames and obstacles
Don't get that ass in a hospital
Wrapped in a cast from head to toe
This boy he real!
Racing those candy Sevilles through Dixie Hills
My car do wheelies they drive on three wheels
First round pick like Michael Vick
Quarterback status throw passes at chicks
Santana Moss When catching the ball
Get it? Like Moss she catches the ball
Perfectly tuned my engine don't stall
And I'm equipped with nitros y'all
Ready to rip, burn, roar!
Ready to tear through your city and tour
Took The Whole World and murdered that shit!
Caught the beat running and dipped with that bitch!
Later for now I'm hustling hits
Flipping my words like bricks, trick!
[Hook]
[Outro]
New, new! That new-new!
New-new for you-you!
New-new for you-you!
That new-new! That new-new!
New-new for you-you!
New-new for you-you!
"
"8","https://www.allthelyrics.com/lyrics/killer_mike/akshon_yeah_madden_04_remix-lyrics-1140219.html","killer_mike","Akshon (Yeah!) (Madden '04 Remix) ","f/ Andre 3000 (OutKast)
[Intro - Andre 3000] + (Killer Mike)
(Let's do this {shit})
Yeah! Killer keeps it honest
Cause reality is perception with a weak stomach
Bubbling uneasy like the bowels of {hell} (Boo!)
Enough to make a black ghost turn pale
(YEAH! YEAH! YEAH! YEAH!)
[Killer Mike]
Ma-dden '04
This is the name that came, to alter the game
My quarterback fires, slangin' that thang
Two minute drill, we runnin' it mayne
DE-FENSE, DON'T SLACK!
Pushin' ya line, crackin ya quarterback
Laying that wood, he's flat on his back
Ya recievers is shook, missin they catch
My recievers a dog, run and they fetch
Ya runningbacks weak, left on his neck
MADDEN IS IT, YEAH!
No better feeling, then gripping the stick
Returning my punts, nailing my kicks
My runningbacks real, fakin' is sick
HALF-BACK, DON'T STOP!
Touchdown bound, Jeff, follow his block
My offensive line, locking the block
Fourth and inches, we can't be stopped
Third and long, we stretching the field
Chasin the corner, see if he chill
OF-FENSE, WON'T STOP, NO!
DE-FENSE, WON'T STOP, NO!
Yeah we braggin, and hitting and taggin
On Madden 2004, YEAH!
[Chorus - Killer Mike]
Madden 2004, (YEAH!)
It's grime time, let's go (YEAH!)
Bringin the pain, I'm laying the wood
Quarterback status, I'm throwing it good
Madden 2004, (YEAH!)
It's grime time, let's go (YEAH!)
Running and gunnin, and stuffin the hole
Nothing is realer, then 2004!
[Outro]
Nu-nu, that
Nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
That, nu-nu
That, nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
That, nu-nu
That, nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
That, nu-nu
That, nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
"
"9","https://www.allthelyrics.com/lyrics/killer_mike/akshon_yeah_madden_04_remix_featuring_andre_3000-lyrics-587701.html","killer_mike","Akshon (Yeah!) (Madden '04 Remix) (Featuring Andre 3000) ","[Intro - Andre 3000] + (Killer Mike)
(Let's do this {shit})
Yeah! Killer keeps it honest
Cause reality is perception with a weak stomach
Bubbling uneasy like the bowels of {hell} (Boo!)
Enough to make a black ghost turn pale
(YEAH! YEAH! YEAH! YEAH!)
[Killer Mike]
Ma-dden '04
This is the name that came, to alter the game
My quarterback fires, slangin' that thang
Two minute drill, we runnin' it mayne
DE-FENSE, DON'T SLACK!
Pushin' ya line, crackin ya quarterback
Laying that wood, he's flat on his back
Ya recievers is shook, missin they catch
My recievers a dog, run and they fetch
Ya runningbacks weak, left on his neck
MADDEN IS IT, YEAH!
No better feeling, then gripping the stick
Returning my punts, nailing my kicks
My runningbacks real, fakin' is sick
HALF-BACK, DON'T STOP!
Touchdown bound, Jeff, follow his block
My offensive line, locking the block
Fourth and inches, we can't be stopped
Third and long, we stretching the field
Chasin the corner, see if he chill
OF-FENSE, WON'T STOP, NO!
DE-FENSE, WON'T STOP, NO!
Yeah we braggin, and hitting and taggin
On Madden 2004, YEAH!
[Chorus - Killer Mike]
Madden 2004, (YEAH!)
It's grime time, let's go (YEAH!)
Bringin the pain, I'm laying the wood
Quarterback status, I'm throwing it good
Madden 2004, (YEAH!)
It's grime time, let's go (YEAH!)
Running and gunnin, and stuffin the hole
Nothing is realer, then 2004!
[Outro]
Nu-nu, that
Nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
That, nu-nu
That, nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
That, nu-nu
That, nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
That, nu-nu
That, nu-nu
Nu-nu, for you-you
Nu-nu, for you-you
"
"10","https://www.allthelyrics.com/lyrics/killer_mike/creep_show-lyrics-1140220.html","killer_mike","Creep Show ","f/ Bizarre (D-12)
* send corrections to the typist
[Chorus]
Welcome to the creep show, street show, freak show, peep show
anything goes strippers and live shows
It's the creep show, street show, freak show, peep show
exctasy, hydro, and good blow
It's the creep show, street show, freak show, peep show
hoes strip, where pimps and hoes do strolls
It's the creep show, street show, freak show, peep show
Where hustlas collect rocks and straight rolls
[Verse 1: Killer MIke]
Welcome home motherfuckers your back again
into the den of inequity the life of sin
Where after the after party and the hotel lobbies
probably find me drunk off Bacardi in a swank hotel
an aspiring actress
Trying to push her back through a thousand dollar mattress
In Chicago a couple of bottles, couple of models, stolen Diablos
Fast and furious going full throttle
post club function, pills get swallowed
Ladies get loose and so do bra staps
power, money, and sex drive good raps
Freaks emerge in a twilight with party pack
of hydros alchohol blurred eye sight
From dusk til dawn is when vampires roam
pro athletes trick and don't go home
[Chorus]
[Verse 2: Killer Mike]
Riding with my nigga Big Boi you don't sleep
even partied with Diddy up in NYC
Got drunk, rubbed titties of Dominican freaks
every night bachelor party in the boom boom room
On trees get burned or liquor consumed
you ain't really seen a color till you seen it on shrooms
Lipstick on the pale of my Pelle Pele
spot hotter than fish scales cooked in coked ale
Vampire party and we gets it down
in the undergrounds underground
Underground in club commer's basement
ladies and low lifes do get wasted
So high you can't hear the music but you feel it when the bass hits
the atmosphere like the first year
Freak bass hit everybodys heart goes fast
rolling Mitsubishi's shakin' that ass
[Chorus]
[Verse 3: Bizzare]
Got twenties on the Escort, bitch park my shit
It's Bizzare from D12 in this bitch (yeah)
and wich nigga want to fight (what!)
I'm the club with Suge Knight, Ike, and Killer Mike (how does it feel)
Fat dick for all my enemies
caught a disease fucking Roy and Jazzie T (a ha ha)
My girlfriends a fucking fool
when she turned her back
I'm making out with her mother like I'm in high school (shhh)
And I don't sale crack to my African brothers
I sell it to they mothers and they ex-lovers (that's true)
So go ahead bitch pop the X
so I can work your neck in the back of my Vett (ahh!)
Red bones, I hate 'em no question
I like fat bitches with bladder infections (ughh)
Bizzare get down from strokers to Magic City
It's the creep show, show your nasty titties
[Chorus]
"
